100, 705
1000, 68
10000, 371
20000, 994
30000, 2343
100, 241
1000, 30
10000, 291
20000, 993
30000, 2314
100, 113
1000, 41
10000, 286
20000, 995
30000, 2285
100, 159
1000, 29
10000, 299
20000, 991
30000, 2277
100, 715
500, 63
1000, 166
5000, 247
10000, 266
20000, 1002
30000, 2366
100, 536
500, 22
1000, 115
5000, 131
10000, 266
20000, 995
30000, 2323
100, 182
500, 20
1000, 99
5000, 123
10000, 264
20000, 994
30000, 2301
100, 164
500, 20
1000, 115
5000, 114
10000, 265
20000, 993
30000, 2301
50, 1047
100, 17
200, 90
300, 19
400, 23
500, 21
700, 21
1000, 22
2000, 39
5000, 86
10000, 269
20000, 1001
30000, 2330
50, 215
100, 10
200, 71
300, 16
400, 19
500, 21
700, 19
1000, 20
2000, 45
5000, 86
10000, 267
20000, 995
30000, 2281
