100, 0
1000, 138
10000, 19359
20000, 78765
30000, 183907
100, 0
1000, 140
10000, 19241
20000, 79945
30000, 193237
100, 0
1000, 143
10000, 19149
20000, 78670
30000, 174444
100, 0
1000, 143
10000, 19240
20000, 82593
30000, 184275
100, 0
500, 30
1000, 138
5000, 4756
10000, 19261
20000, 78215
30000, 182638
50, 0
100, 0
200, 3
300, 9
400, 18
500, 30
700, 62
1000, 135
2000, 720
5000, 4632
10000, 18993
20000, 81830
30000, 178543
50, 0
100, 0
200, 3
300, 9
400, 18
500, 30
700, 63
1000, 138
2000, 736
5000, 4736
10000, 19470
20000, 77157
30000, 185907
